"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2024","205.61","205.99","206.01","205.30","","-0.19%"
"07/03/2024","206.00","204.82","206.51","204.57","","0.60%"
"07/02/2024","204.77","204.25","204.96","203.85","","0.28%"
"07/01/2024","204.20","203.42","205.16","203.12","","0.43%"
"06/28/2024","203.32","203.20","203.66","202.52","","0.09%"
"06/27/2024","203.14","202.98","203.48","202.48","","0.12%"
"06/26/2024","202.90","202.60","203.18","202.39","","0.18%"
"06/25/2024","202.53","202.40","202.76","201.96","","0.03%"
"06/24/2024","202.46","202.10","202.78","201.20","","0.20%"
"06/21/2024","202.05","201.16","202.14","200.48","","0.48%"
"06/20/2024","201.09","201.10","201.43","200.79","","0.02%"
"06/19/2024","201.05","200.63","201.19","200.39","","0.23%"
"06/18/2024","200.58","200.35","200.91","200.01","","0.12%"
"06/17/2024","200.34","199.66","200.49","199.04","","0.38%"
"06/14/2024","199.58","200.39","201.66","198.90","","-0.38%"
"06/13/2024","200.34","200.57","201.40","199.68","","-0.09%"
"06/12/2024","200.53","200.16","201.51","199.65","","0.21%"
"06/11/2024","200.11","199.93","200.46","199.66","","0.11%"
"06/10/2024","199.89","199.38","200.10","198.90","","0.28%"
"06/07/2024","199.34","199.03","199.85","198.38","","0.18%"
"06/06/2024","198.98","199.62","199.98","198.82","","-0.30%"
"06/05/2024","199.57","197.67","199.79","197.65","","0.97%"
"06/04/2024","197.66","199.93","200.45","197.18","","-1.11%"
"06/03/2024","199.87","200.46","200.69","199.20","","-0.26%"
"05/31/2024","200.40","199.66","200.54","199.21","","0.39%"
"05/30/2024","199.63","200.21","200.36","198.73","","-0.28%"
"05/29/2024","200.19","200.56","200.82","200.02","","-0.15%"
"05/28/2024","200.50","200.31","200.70","200.13","","0.11%"
"05/27/2024","200.28","200.10","200.46","199.59","","0.19%"
"05/24/2024","199.91","199.29","200.13","199.10","","0.33%"
"05/23/2024","199.25","199.38","199.96","198.99","","-0.04%"
"05/22/2024","199.33","198.49","199.58","198.35","","0.46%"
"05/21/2024","198.42","198.54","198.95","198.23","","-0.04%"
"05/20/2024","198.49","197.71","198.68","197.35","","0.42%"
"05/17/2024","197.66","196.88","197.96","196.77","","0.44%"
"05/16/2024","196.80","196.47","197.02","195.02","","0.18%"
"05/15/2024","196.45","196.97","197.13","195.88","","-0.23%"
"05/14/2024","196.90","196.18","197.18","195.70","","0.38%"
"05/13/2024","196.16","195.03","196.42","194.79","","0.53%"
"05/10/2024","195.12","194.63","195.35","194.61","","0.23%"
"05/09/2024","194.67","194.21","194.91","193.84","","0.19%"
"05/08/2024","194.30","193.50","194.56","193.32","","0.43%"
"05/07/2024","193.47","193.31","194.16","192.98","","-0.13%"
"05/06/2024","193.73","192.70","193.77","192.45","","0.88%"
"05/03/2024","192.04","192.03","192.56","191.37","","-0.24%"
"05/02/2024","192.51","193.43","195.79","191.84","","-0.50%"
"05/01/2024","193.47","197.13","197.47","192.04","","-1.85%"
"04/30/2024","197.11","196.38","197.43","196.06","","0.38%"
"04/29/2024","196.37","197.79","200.41","193.58","","-0.69%"
"04/26/2024","197.73","194.88","197.96","193.96","","1.52%"
"04/25/2024","194.76","193.62","194.99","193.26","","0.61%"
"04/24/2024","193.57","192.77","193.68","192.40","","0.44%"
"04/23/2024","192.73","191.23","192.88","190.80","","0.79%"
"04/22/2024","191.21","191.33","191.74","190.30","","-0.04%"
"04/19/2024","191.29","192.32","192.76","190.29","","-0.51%"
"04/18/2024","192.28","192.26","192.83","191.88","","0.03%"
"04/17/2024","192.22","192.25","192.93","191.65","","0.01%"
"04/16/2024","192.21","192.02","192.86","191.61","","0.12%"
"04/15/2024","191.98","190.88","192.76","190.41","","0.62%"
"04/12/2024","190.80","192.41","192.50","189.98","","-0.81%"
"04/11/2024","192.35","192.07","192.62","191.54","","0.17%"
"04/10/2024","192.02","192.44","192.97","191.45","","-0.19%"
"04/09/2024","192.38","192.12","192.88","192.02","","0.16%"
"04/08/2024","192.07","191.62","192.23","191.34","","0.26%"
"04/05/2024","191.57","191.34","191.67","190.66","","0.15%"
"04/04/2024","191.28","191.93","192.30","191.00","","-0.32%"
"04/03/2024","191.89","190.63","191.98","190.40","","0.68%"
"04/02/2024","190.60","190.35","190.76","190.01","","0.16%"
"04/01/2024","190.29","191.02","191.38","190.15","","-0.39%"
"03/29/2024","191.03","191.09","191.29","190.79","","-0.02%"
"03/28/2024","191.06","191.27","191.41","190.60","","-0.09%"
"03/27/2024","191.24","191.40","191.68","190.60","","-0.05%"
"03/26/2024","191.33","191.34","191.71","191.09","","0.02%"
"03/25/2024","191.29","190.86","191.60","190.32","","0.26%"
"03/22/2024","190.80","191.91","192.26","190.35","","-0.56%"
"03/21/2024","191.88","193.41","193.55","191.81","","-0.76%"
"03/20/2024","193.35","191.96","193.62","191.77","","0.77%"
"03/19/2024","191.88","189.88","192.20","189.64","","1.09%"
"03/18/2024","189.82","189.76","190.21","189.53","","-0.01%"
"03/15/2024","189.84","189.15","190.07","188.56","","0.38%"
"03/14/2024","189.12","189.11","189.55","188.59","","0.05%"
"03/13/2024","189.03","188.92","189.57","188.38","","0.08%"
"03/12/2024","188.87","188.29","189.26","187.95","","0.32%"
"03/11/2024","188.26","189.21","189.24","187.95","","-0.44%"
"03/08/2024","189.09","189.63","189.74","188.37","","-0.25%"
"03/07/2024","189.57","190.35","190.36","188.21","","-0.29%"
"03/06/2024","190.13","190.64","190.77","189.83","","-0.25%"
"03/05/2024","190.60","191.05","191.11","190.28","","-0.21%"
"03/04/2024","191.00","189.99","191.25","189.75","","0.58%"
"03/01/2024","189.89","189.35","190.43","189.26","","0.30%"
"02/29/2024","189.32","190.79","190.87","189.02","","-0.75%"
"02/28/2024","190.76","190.93","190.99","190.24","","-0.06%"
"02/27/2024","190.88","191.18","191.23","190.30","","-0.13%"
"02/26/2024","191.12","190.64","191.37","190.32","","0.22%"
"02/23/2024","190.70","190.56","191.18","190.37","","0.09%"
